,Label
Label,1.0
SYN Flag Cnt,0.3993451945872817
Fwd Pkts/s,0.3218034232386329
Flow Pkts/s,0.32155306844457776
Bwd Pkts/s,0.31628106684858054
Init Bwd Win Byts,0.2722051404864364
Unnamed: 0,0.24997254844692396
Active Min,0.2334148518376527
Active Mean,0.214833837565026
Fwd Pkt Len Min,0.1780551803870634
Bwd IAT Tot,0.16944379533203152
FIN Flag Cnt,0.1626844705965525
Bwd Pkt Len Std,0.14081763332559358
Active Max,0.13633081359743915
Pkt Size Avg,0.13506547524839504
Pkt Len Std,0.13306516649244565
Bwd IAT Max,0.10695473260923806
Flow IAT Mean,0.10065297779671353
Pkt Len Mean,0.09227946673767505
Bwd PSH Flags,0.09139883920638138
Bwd Pkt Len Max,0.08982525069551732
Pkt Len Max,0.08598402142050744
Pkt Len Min,0.08504226780674512
Bwd IAT Std,0.079209921080454
RST Flag Cnt,0.07508685864401832
Down/Up Ratio,0.07413650049045481
Flow Byts/s,0.0724436482239878
Fwd Pkt Len Mean,0.0712682230612137
Fwd Seg Size Avg,0.0712682230612137
Flow IAT Std,0.07097808609136011
Fwd IAT Std,0.06923442346545933
Bwd Seg Size Avg,0.06915821566816213
Bwd Pkt Len Mean,0.06915821566816213
Flow IAT Min,0.06736911600013316
Bwd Pkt Len Min,0.06461006787988849
Fwd IAT Mean,0.06254225469222471
Bwd IAT Mean,0.060963103456788056
Fwd IAT Tot,0.05994756074973315
Fwd Pkt Len Std,0.059333227574024934
Flow IAT Max,0.056726899359556375
Fwd IAT Max,0.05631628265274972
ACK Flag Cnt,0.055054191064918226
Fwd Pkt Len Max,0.05317928141907559
Flow Duration,0.04892731493365435
Idle Std,0.0364928537648222
Fwd IAT Min,0.03343598031877852
Pkt Len Var,0.02667227054535101
Active Std,0.026236683232305845
Bwd Header Len,0.025885789017323798
Bwd IAT Min,0.02377102255465537
Idle Min,0.019731072756429567
Tot Bwd Pkts,0.01719978991103455
Tot Fwd Pkts,0.009145414378952143
TotLen Bwd Pkts,0.008611956839538706
Idle Mean,0.008437015582132933
Fwd Header Len,0.0036541792263880646
Fwd Act Data Pkts,0.0023728619841639994
TotLen Fwd Pkts,0.0017052368800864397
Idle Max,0.0006908248883256633
